                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2643,                 3.9327,                 1.9006,                0.00284,                0.85185,                0.16357,                0.03601,                 2.1191,                 4.6892,                 2.0815,                0.00016,                0.00016,                0.00016
                      2,                 1.3281,                 2.9409,                 1.2555,                0.00559,                0.96296,                0.83861,                0.65422,                0.87355,                 3.2715,                 1.0072,             0.00033663,             0.00033663,             0.00033663
                      3,                0.90602,                 1.7135,                0.97241,                      1,                0.50338,                0.93975,                0.75813,                0.73266,                 3.1214,                 1.0115,              0.0005097,              0.0005097,              0.0005097
                      4,                0.88563,                 1.5564,                 1.0188,                0.90591,                0.71353,                0.84921,                0.66225,                0.91392,                  2.925,                 1.0711,             0.00067921,             0.00067921,             0.00067921
                      5,                0.90502,                  1.347,                0.99758,                0.85627,                 0.7037,                 0.8015,                0.59921,                0.98803,                 2.9357,                 1.1655,             0.00084515,             0.00084515,             0.00084515
                      6,                0.83529,                 1.2256,                0.98871,                 0.8994,                0.66667,                0.77612,                0.55856,                0.99431,                 2.4477,                 1.1459,              0.0010075,              0.0010075,              0.0010075
                      7,                0.81675,                 1.1666,                   1.01,                0.86833,                0.48886,                0.63607,                0.48078,                0.96816,                 3.0248,                 1.0881,              0.0011663,              0.0011663,              0.0011663
                      8,                0.79602,                 1.0696,                0.98751,                0.89748,                0.55556,                0.75504,                0.62315,                0.74443,                  2.098,                 0.9877,              0.0013216,              0.0013216,              0.0013216
                      9,                0.84422,                 1.0805,                0.99036,                      1,                0.75682,                0.90298,                0.66232,                0.88238,                 1.9345,                 1.0407,              0.0014733,              0.0014733,              0.0014733
                     10,                0.77357,                0.98374,                 0.9766,                0.67116,                0.85185,                0.81509,                0.63423,                0.96335,                 1.5937,                 1.1401,              0.0016214,              0.0016214,              0.0016214
                     11,                0.80971,                0.92238,                0.98116,                0.80723,                0.59259,                 0.6701,                0.45406,                 1.0924,                 2.0144,                  1.355,               0.001766,               0.001766,               0.001766
                     12,                0.79466,                 0.9287,                0.99474,                 0.7916,                0.44444,                0.51082,                0.38433,                 1.4413,                 2.2833,                 1.4989,              0.0017822,              0.0017822,              0.0017822
                     13,                0.71279,                 1.8767,                0.86496,                0.95829,                0.85101,                0.88511,                 0.6856,                0.90766,                 1.3508,                 1.0723,              0.0017822,              0.0017822,              0.0017822
                     14,                0.77395,                0.84416,                0.94459,                0.78561,                0.67892,                0.67904,                0.41734,                 1.2674,                 1.7225,                 1.3381,              0.0017624,              0.0017624,              0.0017624
                     15,                 0.7963,                0.78969,                0.94966,                0.95107,                0.72041,                0.82527,                0.62246,                 1.0086,                   1.38,                 1.1546,              0.0017426,              0.0017426,              0.0017426
                     16,                0.78283,                0.78531,                0.96407,                    0.2,                0.03704,                0.09286,                0.03901,                 1.5032,                 46.897,                 1.5037,              0.0017228,              0.0017228,              0.0017228
                     17,                0.78732,                0.72352,                0.97666,                 0.6087,                0.62963,                0.64916,                0.43507,                0.92453,                 4.4578,                 1.0866,               0.001703,               0.001703,               0.001703
                     18,                 0.7281,                0.68371,                0.94979,                0.70408,                0.77778,                0.78199,                0.58302,                 0.8406,                 1.2208,                 1.0103,              0.0016832,              0.0016832,              0.0016832
                     19,                0.71927,                0.63953,                 0.9573,                0.95293,                0.88889,                0.95442,                0.81584,                0.73449,                 1.0023,                0.99956,              0.0016634,              0.0016634,              0.0016634
                     20,                 0.7033,                0.65675,                0.94062,                0.63732,                0.91141,                0.83451,                0.67087,                 0.6897,                 1.3598,                0.93432,              0.0016436,              0.0016436,              0.0016436
